nomen_musculi;descriptio
sternocleidomastoid;neck side
splenius capitis;neck
semispinalis capitis;neck
deltoid;shoulder
rotator cuff;shoulder
teres major;upper back
trapezius;shoulders, back
latissimus dorsi;back
rhomboid;middle back
erector spinae;lower back
pectoralis major;chest
pectoralis minor;chest
biceps;arm
triceps;arm
flexores carpi;
extensores carpi;
pronator;
supinator;supinates the forearm
brachioradialis;flexes the forearm at elbow
rectus abdominis;abs
external obliques;obliques
internal obliques;obliques
transverse abdominis;core
adductor;hip
iliopsoas;hip flexors
quadricep;front of the thigh
sartorius;tailors muscle, front thigh
hamstring;back of the thigh
gracilis;thigh
gluteal muscles;glutes
gastrocnemicus;calf
soleus;calf
tibialis anterior;shin